FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.196063,196063,POINT (16.32851868958135 48.19780081279791),3,,Schweglerstraße,,1994,9,
UBAHNHALTOGD.196064,196064,POINT (16.37957846760191 48.2028085790183),4,,Stadtpark,,1978,8,
UBAHNHALTOGD.196065,196065,POINT (16.309147428955267 48.204540181864424),3,,Kendlerstraße,,1998,12,
UBAHNHALTOGD.196066,196066,POINT (16.3715306120903 48.20804683419944),1,,Stephansplatz,,1979,11,
UBAHNHALTOGD.196067,196067,POINT (16.370341054127362 48.19391607679164),1,,Taubstummengasse,,1973,8,
UBAHNHALTOGD.196068,196068,POINT (16.338015523652427 48.2078009691215),6,,Thaliastraße,,1989,10,
UBAHNHALTOGD.196069,196069,POINT (16.32766877491165 48.16485969016559),6,,Tscherttegasse,,1995,4,
UBAHNHALTOGD.196070,196070,POINT (16.2859483869923 48.19112786327868),4,,Unter Sankt Veit,,1981,12,
UBAHNHALTOGD.196071,196071,POINT (16.3582601366227 48.2049156582831),3,,Volkstheater,,1991,4,
UBAHNHALTOGD.196072,196072,POINT (16.401076559650786 48.223629267264364),1,,Vorgartenstraße,,1982,9,
UBAHNHALTOGD.196073,196073,POINT (16.33960167546456 48.1958382554576),3,,Westbahnhof,,1993,9,
UBAHNHALTOGD.196074,196074,POINT (16.31687592693336 48.15072742526464),6,,Alterlaa,,1995,4,
UBAHNHALTOGD.196075,196075,POINT (16.349500070214873 48.22558683917439),6,,Währinger Straße-Volksoper,,1989,10,
UBAHNHALTOGD.195980,195980,POINT (16.345980217468753 48.197080371136785),3,,Zieglergasse,,1993,9,
UBAHNHALTOGD.195981,195981,POINT (16.36183617851763 48.214526571261),2,,Schottentor,,1980,8,
UBAHNHALTOGD.195982,195982,POINT (16.39483444193669 48.24640576287346),6,,Neue Donau,,1996,5,
UBAHNHALTOGD.195983,195983,POINT (16.385702894060262 48.24186053583507),6,,Handelskai,,1996,5,
UBAHNHALTOGD.195984,195984,POINT (16.41746712138183 48.18514301538456),3,,Gasometer,,2000,12,
UBAHNHALTOGD.195985,195985,POINT (16.414796672573672 48.17471873608361),3,,Enkplatz,,2000,12,
UBAHNHALTOGD.195986,195986,POINT (16.381291851267058 48.219130313111236),2,,Taborstraße,,2008,5,
UBAHNHALTOGD.195987,195987,POINT (16.260835508353725 48.19695701497334),4,,Hütteldorf,,1981,12,
UBAHNHALTOGD.195988,195988,POINT (16.34295439767767 48.18848396099265),4,,Margaretengürtel,,1980,10,
UBAHNHALTOGD.195989,195989,POINT (16.318955607133436 48.18604725454002),4,,Schönbrunn,,1981,8,
UBAHNHALTOGD.195990,195990,POINT (16.324229809458245 48.16071538202971),6,,Am Schöpfwerk,,1995,4,
UBAHNHALTOGD.195991,195991,POINT (16.37913094797084 48.206816355148845),3,,Stubentor,,1991,4,
UBAHNHALTOGD.195992,195992,POINT (16.420700222121553 48.169649232274296),3,,Simmering,,2000,12,
